Value   Red   Green   Blue   
72   0.0028097769   0.0067199603   0.0055768189   
73   0.0030661819   0.0077989988   0.0051174249   
74   0.0032798526   0.0075853262   0.0052028925   
75   0.0033653205   0.0070190965   0.0054486134   
76   0.0032905350   0.0063887656   0.0050105868   
77   0.0029166101   0.0064742330   0.0055768142   
78   0.0032905340   0.0059293709   0.0052135726   
79   0.0031302802   0.0056409141   0.0052028883   
80   0.0032691658   0.0056195462   0.0052669888   
81   0.0036430895   0.0055554440   0.0053738234   
82   0.0031302787   0.0053417723   0.0054592910   
83   0.0034935188   0.0057477461   0.0055020243   
84   0.0033225815   0.0054486061   0.0050639983   
85   0.0033653152   0.0057584279   0.0051067317   
86   0.0034828336   0.0061644015   0.0047648577   
87   0.0038781240   0.0060682487   0.0049998948   
88   0.0037712880   0.0061323489   0.0043695655   
89   0.0035362497   0.0066344740   0.0039422235   
90   0.0034614644   0.0069015612   0.0035041981   
91   0.0040383745   0.0077135084   0.0028311353   
92   0.0044870821   0.0072434320   0.0023183255   
93   0.0045404990   0.0072113802   0.0021367052   
94   0.0039635880   0.0068267723   0.0019657685   
95   0.0043375107   0.0075318839   0.0016773131   
96   0.0045404971   0.0071793265   0.0012713391   
97   0.0046045975   0.0077348686   0.0011110861   
98   0.0048503178   0.0081515247   0.0010256178   
99   0.0054058600   0.0081301564   0.0011004022   
100   0.0059614020   0.0082263068   0.0009080988   
101   0.0059827681   0.0076493957   0.0011324524   
102   0.0071900041   0.0065917268   0.0011965533   
103   0.0065276252   0.0058866141   0.0011217686   
104   0.0071686347   0.0058225122   0.0009721993   
105   0.0065703572   0.0056302082   0.0010469837   
106   0.0066878748   0.0062712177   0.0008119464   
107   0.0064635203   0.0059720787   0.0010790339   
108   0.0062498493   0.0068053910   0.0007585287   
109   0.0064528349   0.0060682284   0.0008119461   
110   0.0059507095   0.0067840220   0.0009401479   
111   0.0059186582   0.0070083745   0.0008546798   
112   0.0055020009   0.0072434104   0.0006730603   
113   0.0059293400   0.0075425472   0.0006303262   
114   0.0064421468   0.0074357111   0.0006303261   
115   0.0066344486   0.0062605259   0.0003205047   
116   0.0067733330   0.0058225019   0.0003952891   
117   0.0072006716   0.0047114183   0.0003311881   
118   0.0072220375   0.0038994727   0.0003632386   
119   0.0072327200   0.0030875273   0.0002991376   
120   0.0072327192   0.0028524903   0.0003098210   
121   0.0064741910   0.0021153297   0.0003525549   
122   0.0067092269   0.0017200406   0.0002564036   
123   0.0056515616   0.0013674856   0.0003632384   
124   0.0055981438   0.0010897150   0.0002243531   
125   0.0063246200   0.0010683480   0.0003205044   
126   0.0054485742   0.0009294626   0.0003418713   
127   0.0053417390   0.0006730591   0.0003418713   
128   0.0054272064   0.0005448573   0.0003632382   
129   0.0046473123   0.0005341738   0.0004487060   
130   0.0058652283   0.0005769077   0.0003418712   
131   0.0063566677   0.0006303250   0.0003632381   
132   0.0072968129   0.0003952885   0.0003846051   
133   0.0068587899   0.0005128067   0.0002777703   
134   0.0072113439   0.0003739215   0.0002564033   
135   0.0067733209   0.0005341736   0.0003205041   
136   0.0073288609   0.0004593892   0.0004273388   
137   0.0067946868   0.0004487057   0.0002884537   
138   0.0065169160   0.0004273388   0.0002884537   
139   0.0062711957   0.0003418710   0.0004059718   
140   0.0068160521   0.0004273387   0.0003952883   
141   0.0065810153   0.0003632379   0.0003739213   
142   0.0063139281   0.0004700725   0.0003525544   
143   0.0055233513   0.0004166551   0.0003846047   
144   0.0054058328   0.0003846047   0.0004059716   
145   0.0051601128   0.0004059716   0.0004273385   
146   0.0048289251   0.0002029858   0.0003311873   
147   0.0056408679   0.0003632377   0.0003632377   
148   0.0053844645   0.0003098204   0.0004059715   
149   0.0049250753   0.0004059715   0.0005128061   
150   0.0049037081   0.0004700722   0.0004059715   
151   0.0047648228   0.0003418707   0.0002670865   
152   0.0045725203   0.0003846045   0.0003525541   
153   0.0040917644   0.0005234894   0.0004059714   
154   0.0034934906   0.0004273383   0.0003205037   
155   0.0035682746   0.0004273383   0.0004059714   
156   0.0029700009   0.0003952879   0.0005021225   
157   0.0023610438   0.0004487052   0.0004487051   
158   0.0019550724   0.0003525540   0.0004487051   
159   0.0015170507   0.0004807555   0.0005341728   
160   0.0012926981   0.0004273382   0.0003952878   
161   0.0014208995   0.0003846044   0.0006410073   
162   0.0012285973   0.0004380216   0.0004807555   
163   0.0011324462   0.0004807554   0.0007692087   
164   0.0007905756   0.0004914389   0.0006410072   
165   0.0011324461   0.0004273382   0.0007692087   
166   0.0011858633   0.0005662230   0.0008974101   
167   0.0010256115   0.0005662230   0.0010362950   
168   0.0010256115   0.0006944244   0.0011644964   
169   0.0012285971   0.0007798920   0.0016025179   
170   0.0012392805   0.0008867265   0.0016452516   
171   0.0014422660   0.0008439927   0.0022007910   
172   0.0021901076   0.0009615106   0.0029379491   
173   0.0020405391   0.0011858630   0.0032370855   
174   0.0023396756   0.0020619059   0.0036751067   
175   0.0029486321   0.0022755747   0.0038780919   
176   0.0035148545   0.0026494952   0.0038460412   
177   0.0035469045   0.0031088831   0.0032157174   
178   0.0035255373   0.0035789544   0.0035469039   
179   0.0034828031   0.0036857884   0.0034614359   
180   0.0033225510   0.0033118675   0.0034080183   
181   0.0032905003   0.0033332340   0.0028524790   
182   0.0032584497   0.0027135941   0.0028738456   
183   0.0031302481   0.0030127301   0.0022542058   
184   0.0031729815   0.0031088808   0.0016666165   
185   0.0030875137   0.0029913627   0.0011751782   
186   0.0027349600   0.0027456434   0.0011217609   
187   0.0021473708   0.0027563266   0.0008546749   
188   0.0015277314   0.0021687375   0.0007798908   
189   0.0014102135   0.0019230184   0.0008439914   
190   0.0010576601   0.0017200330   0.0010576600   
191   0.0010256097   0.0013461127   0.0016238820   
192   0.0012285949   0.0011751777   0.0021153199   
193   0.0018589175   0.0011217605   0.0036216839   
194   0.0026388080   0.0010790267   0.0059506719   
195   0.0040810711   0.0016452486   0.0076493369   
196   0.0040810706   0.0026067571   0.0079805222   
197   0.0037498837   0.0041238037   0.0069335449   
198   0.0063352727   0.0039956018   0.0040490187   
199   0.0082048711   0.0040597017   0.0025853888   
200   0.0073608791   0.0066450894   0.0013461113   
201   0.0039849166   0.0087604058   0.0004166534   
202   0.0014315784   0.0074463438   0.0000747839   
203   0.0004166534   0.0037178298   0.0000000000   
204   0.0001068342   0.0012926936   0.0000000000   
205   0.0000000000   0.0004273367   0.0000000000   
206   0.0000000000   0.0001388844   0.0000000000   
207   0.0000000000   0.0000000000   0.0000000000   
208   0.0000000000   0.0000106834   0.0000000000   
209   0.0000000000   0.0000000000   0.0000000000   
210   0.0000000000   0.0000000000   0.0000000000   
211   0.0000000000   0.0000000000   0.0000000000   
212   0.0000000000   0.0000000000   0.0000000000   
213   0.0000000000   0.0000000000   0.0000000000   
214   0.0000000000   0.0000000000   0.0000000000   
215   0.0000000000   0.0000000000   0.0000000000   
216   0.0000000000   0.0000000000   0.0000000000   
217   0.0000000000   0.0000000000   0.0000000000   
218   0.0000000000   0.0000000000   0.0000000000   
219   0.0000000000   0.0000000000   0.0000000000   
220   0.0000000000   0.0000000000   0.0000000000   
221   0.0000000000   0.0000000000   0.0000000000   
222   0.0000000000   0.0000000000   0.0000000000   
223   0.0000000000   0.0000000000   0.0000000000   
224   0.0000000000   0.0000000000   0.0000000000   
225   0.0000000000   0.0000000000   0.0000000000   
226   0.0000000000   0.0000000000   0.0000000000   
227   0.0000000000   0.0000000000   0.0000000000   
228   0.0000000000   0.0000000000   0.0000000000   
229   0.0000000000   0.0000000000   0.0000000000   
230   0.0000000000   0.0000000000   0.0000000000   
231   0.0000000000   0.0000000000   0.0000000000   
232   0.0000000000   0.0000000000   0.0000000000   
233   0.0000000000   0.0000000000   0.0000000000   
234   0.0000000000   0.0000000000   0.0000000000   
235   0.0000000000   0.0000000000   0.0000000000   
236   0.0000000000   0.0000000000   0.0000000000   
237   0.0000000000   0.0000000000   0.0000000000   
238   0.0000000000   0.0000000000   0.0000000000   
239   0.0000000000   0.0000000000   0.0000000000   
240   0.0000000000   0.0000000000   0.0000000000   
241   0.0000000000   0.0000000000   0.0000000000   
242   0.0000000000   0.0000000000   0.0000000000   
243   0.0000000000   0.0000000000   0.0000000000   
244   0.0000000000   0.0000000000   0.0000000000   
245   0.0000000000   0.0000000000   0.0000000000   
246   0.0000000000   0.0000000000   0.0000000000   
247   0.0000000000   0.0000000000   0.0000000000   
248   0.0000000000   0.0000000000   0.0000000000   
249   0.0000000000   0.0000000000   0.0000000000   
250   0.0000000000   0.0000000000   0.0000000000   
251   0.0000000000   0.0000000000   0.0000000000   
252   0.0000000000   0.0000000000   0.0000000000   
253   0.0000000000   0.0000000000   0.0000000000   
254   0.0000000000   0.0000000000   0.0000000000   
255   0.0000000000   0.0000000000   0.0000000000   
